,POINT_ID,coarse,clay,silt,sand,pH_in_H2O,pH_in_CaCl2,SOC,CaCO3,N,P,K,CEC,Notes,sample_ID,GPS_LAT,GPS_LONG,geometry
11983,41863224,7,2.0,3.0,95.0,4.91,4.3,26.1,1.0,2.0,55.0,32.9,3.4,,2453,52.11,8.03,POINT (8.029999999999999 52.11)
11984,41863206,12,2.0,4.0,94.0,5.62,5.29,16.2,0.0,1.3,64.2,103.0,6.4,,2474,51.95,8.04,POINT (8.039999999999999 51.95)
11985,41863128,30,24.0,65.0,11.0,3.5,3.07,126.4,1.0,6.2,24.4,82.0,16.8,,2493,51.25,8.07,POINT (8.07 51.25)
11986,41863092,34,24.0,54.0,22.0,4.91,4.36,27.3,1.0,2.8,29.3,52.5,6.9,,2247,50.92,8.08,POINT (8.08 50.92)
11987,41862864,6,22.0,41.0,37.0,7.72,7.18,17.8,47.0,1.9,49.2,358.2,16.8,,2026,48.87,8.16,POINT (8.16 48.87)
11988,41862732,6,14.0,16.0,69.0,6.04,5.85,25.9,1.0,2.7,31.6,149.3,9.8,,3069,47.69,8.2,POINT (8.199999999999999 47.69)
11993,41823400,21,33.0,50.0,17.0,7.4,6.9,19.4,46.0,2.2,68.3,431.1,19.4,,1301,53.69,7.9,POINT (7.9 53.69)
11994,41823346,4,7.0,12.0,81.0,4.64,4.23,33.6,0.0,2.2,85.9,82.1,5.2,,1292,53.2,7.92,POINT (7.92 53.2)
11995,41823302,4,7.0,19.0,74.0,5.65,5.2,20.0,1.0,1.6,80.0,122.0,4.6,,1349,52.81,7.94,POINT (7.94 52.81)
11996,41823284,7,9.0,19.0,71.0,3.86,3.27,45.3,0.0,2.8,178.8,141.4,7.7,,1684,52.65,7.95,POINT (7.95 52.65)
11997,41823256,4,16.0,20.0,65.0,6.38,6.21,20.8,2.0,2.3,34.1,106.1,13.6,,2683,52.4,7.96,POINT (7.96 52.4)
11998,41823220,4,5.0,12.0,83.0,6.72,5.96,17.9,0.0,1.3,57.7,190.0,6.5,,1780,52.07,7.97,POINT (7.97 52.07)
11999,41823216,4,3.0,7.0,90.0,6.79,6.29,13.5,1.0,1.0,22.9,39.4,5.0,,2175,52.04,7.97,POINT (7.97 52.04)
12000,41823184,18,38.0,29.0,33.0,7.75,7.35,36.1,53.0,3.3,62.3,259.1,35.3,,1859,51.75,7.99,POINT (7.99 51.75)
12001,41823158,5,14.0,80.0,6.0,7.08,6.31,13.4,0.0,1.5,45.4,202.7,12.2,,1860,51.52,8.0,POINT (8 51.52)
12002,41823112,40,24.0,51.0,24.0,3.93,3.47,82.0,0.0,3.9,13.4,99.4,13.9,many stones,2892,51.1,8.02,POINT (8.02 51.1)
12003,41823058,10,24.0,65.0,10.0,5.13,4.42,36.3,0.0,3.3,11.9,68.0,11.7,,2844,50.62,8.04,POINT (8.039999999999999 50.62)
12004,41823036,9,19.0,71.0,10.0,7.37,6.84,14.2,3.0,1.5,48.3,276.0,14.7,,2458,50.42,8.04,POINT (8.039999999999999 50.42)
12005,41822978,4,26.0,67.0,7.0,8.18,7.48,13.0,82.0,1.5,15.1,449.7,18.6,,1660,49.9,8.07,POINT (8.07 49.9)
12006,41822888,9,27.0,68.0,5.0,7.37,6.94,14.0,3.0,1.5,107.8,322.0,20.1,,1634,49.09,8.1,POINT (8.1 49.09)
12013,41803154,14,17.0,77.0,6.0,7.03,6.4,15.2,2.0,1.6,56.0,193.6,12.1,,1911,51.48,7.97,POINT (7.97 51.48)
12014,41802956,7,31.0,63.0,6.0,7.94,7.61,13.6,34.0,1.5,44.0,405.0,22.3,,1621,49.7,8.05,POINT (8.050000000000001 49.7)
12017,41783392,7,31.0,50.0,20.0,6.0,5.65,47.7,1.0,4.9,55.0,280.2,22.7,,1298,53.62,7.84,POINT (7.84 53.62)
12018,41783356,10,0.0,0.0,0.0,4.67,4.57,442.1,0.0,22.0,83.5,305.7,94.0,,1293,53.29,7.86,POINT (7.86 53.29)
